,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
32,-0.5883302136448718,0.26449275362318847,0.23500810372771475,0.40044742729306493,0.4816901408450702,0.34693877551020424,-0.33333333333333337,0.0,0.8854166666666667,0.9758846153846155,-0.44865241635687736,-0.005681818181818676,-0.5131578934279784,-0.022727274586778146,-0.5883382823738674,-0.5883382823738674,-0.5883382831327769,-0.5883382787311036,-0.5883382787311036,-0.5883382746329879,-0.5925171089610195,-0.4,4.440892098500626e-16,-0.24414715719063562,-0.7142857142857144
33,-0.6079519783127865,0.3007246376811594,0.27066450567260936,0.4272930648769573,0.4985915492957744,0.29591836734693877,-0.33333333333333337,0.0,0.875,0.9736923076923076,-0.474907063197026,-0.05303030181818191,-0.5263157892243766,0.0,-0.607941218489638,-0.607941218489638,-0.6079412207663681,-0.6079412207663675,-0.6079412207663675,-0.6079412207663671,-0.611910840323515,-0.4,4.440892098500626e-16,-0.21070234113712394,-0.7142857142857144
34,-0.6471524774629402,0.36956521739130443,0.34521880064829813,0.4854586129753913,0.5323943661971828,0.17346938775510257,-0.33333333333333337,0.0,0.8541666666666667,0.9693076923076922,-0.5274163568773234,-0.14772727272727315,-0.5526315776592795,0.04545454371900792,-0.6471470998280948,-0.6471470998280948,-0.6471470960335444,-0.6471470925425632,-0.6471470925425632,-0.6471470986897316,-0.6506983030485058,-0.5,4.440892098500626e-16,-0.1438127090301008,-0.7142857142857144
35,-0.6667312119451796,0.4057971014492754,0.38087520259319296,0.5145413870246085,0.5492957746478873,0.11224489795918391,-0.33333333333333337,0.0,0.84375,0.9671153846153846,-0.5536710037174721,-0.1950757563636364,-0.5657894734556792,0.06818181830578363,-0.6667500359438654,-0.6667500359438654,-0.6667500389795045,-0.6667500345778308,-0.6667500345778308,-0.6667500304797149,-0.6701349408963164,-0.5,4.440892098500626e-16,-0.11036789297658867,-0.7142857142857144
36,-0.686352976613094,0.44202898550724634,0.4165316045380876,0.5436241610738253,0.5661971830985915,0.06122448979591866,-0.33333333333333337,0.0,0.8333333333333333,0.964923076923077,-0.5799256505576208,-0.24242424181818156,-0.5789473692520775,0.09090909289256177,-0.6863529766130951,-0.6863529766130951,-0.6863529766130927,-0.6863529766130947,-0.6863529766130947,-0.6863529766130941,-0.6895286722588119,-0.5,4.440892098500626e-16,-0.0769230769230771,-0.7142857142857144
37,-0.7255534757632479,0.5108695652173914,0.49108589951377635,0.5995525727069348,0.5999999999999999,-0.061224489795918324,-0.33333333333333337,0.0,0.8125,0.9605384615384616,-0.6324349442379182,-0.33712121090909086,-0.6052631576869802,0.1363636366115697,-0.7255588533980928,-0.7255588533980928,-0.725558851880272,-0.7255588483892904,-0.7255588483892904,-0.7255588545364586,-0.7283161349838028,-0.6,4.440892098500626e-16,-0.010033444816053838,-0.7142857142857144
38,-0.7451752404311625,0.5434782608695652,0.526742301458671,0.6286353467561518,0.6169014084507041,-0.12244897959183654,-0.33333333333333337,0.0,0.8020833333333333,0.9583461538461537,-0.6586895910780669,-0.38446969636363604,-0.61842105348338,0.1590909111983454,-0.7451617940673199,-0.7451617940673199,-0.745161794826229,-0.7451617904245544,-0.7451617904245544,-0.7451617863264419,-0.7477527728316136,-0.6,4.440892098500626e-16,0.023411371237457734,-0.7142857142857144
39,-0.7647539749134018,0.5797101449275361,0.5623987034035656,0.6577181208053691,0.6338028169014085,-0.18367346938775497,-0.33333333333333337,0.0,0.7916666666666667,0.9561538461538461,-0.6849442379182156,-0.4318181818181821,-0.6315789461218846,0.18181818033057762,-0.7647647301830905,-0.7647647301830905,-0.7647647324598202,-0.7647647324598219,-0.7647647324598219,-0.7647647324598211,-0.7671465041941089,-0.7,4.440892098500626e-16,0.05685618729096986,-0.7142857142857144
40,-0.8039544740635556,0.6485507246376812,0.6369529983792546,0.7136465324384786,0.6676056338028167,-0.29591836734693844,-0.33333333333333337,0.0,0.7708333333333333,0.9517692307692307,-0.737453531598513,-0.5265151509090906,-0.6578947377146811,0.22727272950413124,-0.8039706115215473,-0.8039706115215473,-0.8039706077269997,-0.8039706042360141,-0.8039706042360141,-0.8039706103831836,-0.8059339669190998,-0.7,4.440892098500626e-16,0.123745819397993,-0.7142857142857144
41,-0.8235762387314701,0.6847826086956521,0.6726094003241492,0.7427293064876954,0.6845070422535211,-0.357142857142857,-0.33333333333333337,0.0,0.7604166666666667,0.9495769230769231,-0.7637081784386617,-0.5738636363636366,-0.6710526303531857,0.24999999863636346,-0.8235735476373178,-0.8235735476373178,-0.8235735506729567,-0.8235735462712817,-0.8235735462712817,-0.8235735421731689,-0.8253706047669105,-0.7,4.440892098500626e-16,0.1571906354515047,-0.7142857142857144
42,-0.8431549732137094,0.7210144927536233,0.7082658022690438,0.7718120805369126,0.7070422535211267,-0.41836734693877553,0.33333333333333326,0.0,0.75,0.9473846153846155,-0.7899628252788105,-0.6212121199999998,-0.6842105261495854,0.27272727322313917,-0.8431764883065476,-0.8431764883065476,-0.8431764883065448,-0.8431764883065491,-0.8431764883065491,-0.8431764883065481,-0.8447643361294059,-0.8,4.440892098500626e-16,0.19732441471571893,-0.42857142857142894
