,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A_1,DO_2#A_2,DO_2#A_3,DO_2#B_1,DO_2#B_2,DO_2#B_3,DO_3#_1,DO_3#_2,DO_3#_3,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
110,-0.3977925514748596,-0.5326086956521738,-0.5721231766612642,-0.6778523489932886,0.4704225352112672,0.5,-0.33333333333333337,0.4999999999999978,-0.05249763257575757,-0.4902692307692308,-0.5470260223048327,-0.5357142857142856,0.34062499999999973,0.33088235294117596,-0.1875000000000001,0.2875000000000012,-0.3125,0.18749999999999978,-0.6517857142857139,-0.5260416666666656,-0.3977912082045123,-0.3977912082045123,-0.3977912074456037,-0.39779121139193485,-0.39779121139193485,-0.3977912031957084,-0.4137257846523502,-0.09999999999999998,4.440892098500626e-16,0.6387959866220729,1.0
111,-0.3941349856924633,-0.5543478260869565,-0.5818476499189627,-0.7024608501118568,0.4422535211267602,0.4795918367346943,-0.33333333333333337,0.4999999999999978,-0.08546401515151514,-0.522,-0.5561338289962825,-0.5714285714285712,0.3374999999999999,0.38235294117647034,-0.25000000000000033,0.24999999999999956,-0.34999999999999964,0.24999999999999978,-0.6785714285714292,-0.5624999999999998,-0.39414036332730773,-0.39414036332730773,-0.3941403618094875,-0.39414035831850425,-0.39414035831850425,-0.3941403644656728,-0.41025035934181453,-0.09999999999999998,4.440892098500626e-16,0.6655518394648829,1.0
112,-0.3868198541276706,-0.5978260869565217,-0.6012965964343597,-0.7516778523489933,0.3859154929577462,0.44897959183673475,-0.33333333333333337,0.4999999999999978,-0.15139678030303028,-0.5854615384615385,-0.5743494423791822,-0.642857142857143,0.3312499999999998,0.4852941176470589,-0.3750000000000001,0.17500000000000027,-0.4250000000000007,0.375,-0.7321428571428572,-0.6354166666666667,-0.38683867812635775,-0.38683867812635775,-0.38683868116199605,-0.3868386767603217,-0.3868386767603217,-0.3868386726622056,-0.40329950872074316,-0.09999999999999998,4.440892098500626e-16,0.7190635451505016,1.0
113,-0.3832053185309494,-0.6195652173913043,-0.6110210696920584,-0.7762863534675616,0.3577464788732392,0.42857142857142905,-0.33333333333333337,0.4999999999999978,-0.18436316287878785,-0.6171923076923077,-0.583457249070632,-0.6785714285714286,0.328125,0.5367647058823521,-0.43750000000000044,0.13750000000000062,-0.46250000000000036,0.43749999999999956,-0.7589285714285712,-0.6718749999999994,-0.38318783780260957,-0.38318783780260957,-0.38318783552588,-0.38318783598122674,-0.38318783598122674,-0.38318783393216993,-0.3998240834102075,-0.09999999999999998,4.440892098500626e-16,0.7458193979933105,1.0
114,-0.3795477527485531,-0.6413043478260869,-0.6207455429497568,-0.8008948545861296,0.3295774647887322,0.4081632653061227,-0.33333333333333337,0.4999999999999978,-0.21732954545454541,-0.6489230769230769,-0.5925650557620818,-0.7142857142857141,0.32499999999999973,0.5882352941176465,-0.5,0.10000000000000098,-0.5,0.4999999999999989,-0.7857142857142853,-0.7083333333333321,-0.379536992925405,-0.379536992925405,-0.3795369952021327,-0.37953699520213546,-0.37953699520213546,-0.37953699520213435,-0.3963486580996718,-0.09999999999999998,4.440892098500626e-16,0.7792642140468227,1.0
115,-0.37223262118376044,-0.6847826086956521,-0.6401944894651539,-0.8501118568232663,0.27323943661971795,0.3775510204081638,-0.33333333333333337,0.4999999999999978,-0.28326231060606055,-0.7123846153846154,-0.6107806691449814,-0.7857142857142853,0.31874999999999964,0.6911764705882351,-0.6249999999999998,0.02499999999999991,-0.5749999999999993,0.6249999999999991,-0.8392857142857146,-0.7812499999999991,-0.3722353122779114,-0.3722353122779114,-0.3722353092422723,-0.37223531364394935,-0.37223531364394935,-0.37223530339866717,-0.3893978074786004,-0.09999999999999998,4.440892098500626e-16,0.8327759197324416,1.0
116,-0.36857505540136404,-0.7101449275362319,-0.646677471636953,-0.8769574944071589,0.24507042253521094,0.35714285714285743,-1.0,0.4999999999999978,-0.31622869318181823,-0.7441153846153846,-0.6198884758364313,-0.8214285714285715,0.3156249999999998,0.7426470588235294,-0.6875,-0.012499999999999734,-0.6125000000000007,0.6875,-0.8660714285714286,-0.8177083333333334,-0.36858446740070683,-0.36858446740070683,-0.36858446891852503,-0.36858447286485807,-0.36858447286485807,-0.3685844646686316,-0.3858794756827495,-0.09999999999999998,4.440892098500626e-16,0.8595317725752503,1.0
117,-0.36491748961896775,-0.7318840579710144,-0.6564019448946515,-0.901565995525727,0.21690140845070394,0.33673469387755084,-1.0,0.4999999999999978,-0.3491950757575758,-0.7758461538461539,-0.628996282527881,-0.857142857142857,0.3125,0.7941176470588227,-0.7500000000000003,-0.04999999999999938,-0.6500000000000004,0.7499999999999996,-0.8928571428571426,-0.8541666666666661,-0.3649336270769613,-0.3649336270769613,-0.36493362328241197,-0.36493361979142747,-0.36493361979142747,-0.364933625938596,-0.3824040503722138,-0.09999999999999998,4.440892098500626e-16,0.8862876254180603,1.0
118,-0.35764538823985026,-0.7753623188405797,-0.6758508914100486,-0.9507829977628633,0.16056338028168993,0.30612244897959195,-1.0,0.4999999999999978,-0.41512784090909094,-0.8393076923076923,-0.6472118959107807,-0.9285714285714282,0.3062499999999999,0.8970588235294115,-0.8750000000000001,-0.12500000000000056,-0.7249999999999996,0.8749999999999998,-0.946428571428572,-0.927083333333333,-0.35763194187600866,-0.35763194187600866,-0.3576319426349175,-0.3576319382332449,-0.3576319382332449,-0.35763193413512884,-0.37545319975114233,-0.09999999999999998,4.440892098500626e-16,0.9464882943143813,1.0
119,-0.35398782245745386,-0.7971014492753623,-0.6855753646677472,-0.9753914988814317,0.1323943661971827,0.2857142857142856,-1.0,0.4999999999999978,-0.4480942234848485,-0.8710384615384615,-0.6563197026022305,-0.9642857142857137,0.30312499999999964,0.9485294117647056,-0.9374999999999998,-0.1625000000000002,-0.7624999999999993,0.9374999999999991,-0.973214285714286,-0.9635416666666657,-0.3539810969988041,-0.3539810969988041,-0.3539810969988044,-0.3539810974541501,-0.3539810974541501,-0.35398109540509315,-0.37197777444060665,-0.09999999999999998,4.440892098500626e-16,0.97324414715719,1.0
120,-0.35033025667505757,-0.8188405797101449,-0.6952998379254457,-1.0,0.1042253521126757,0.2653061224489799,-1.0,0.4999999999999978,-0.4810606060606061,-0.9027692307692308,-0.6654275092936803,-1.0,0.2999999999999998,1.0,-1.0,-0.19999999999999984,-0.8000000000000007,1.0,-1.0,-1.0,-0.35033025667505857,-0.35033025667505857,-0.35033025667505713,-0.3503302566750588,-0.3503302566750588,-0.35033025667505757,-0.36850234913007096,-0.09999999999999998,4.440892098500626e-16,1.0,1.0
121,-0.3604853804944168,-0.8152173913043479,-0.6952998379254457,-0.9642058165548099,0.05352112676056309,0.18367346938775508,-1.0,0.4999999999999978,-0.49408143939393945,-0.8936153846153846,-0.6052044609665428,-0.9107142857142857,0.3062499999999999,0.9117647058823528,-0.8928571428571426,-0.18750000000000056,-0.6875,0.9166666666666654,-1.0,-0.8958333333333334,-0.36050689558725524,-0.36050689558725524,-0.36050689558725413,-0.3605068955872549,-0.3605068955872549,-0.36050689558725413,-0.37935768991483065,-0.09999999999999998,4.440892098500626e-16,0.8729096989966547,1.0
122,-0.3656059725897717,-0.8152173913043479,-0.6952998379254457,-0.9440715883668904,0.030985915492957483,0.14285714285714302,-1.0,0.4999999999999978,-0.5005918560606061,-0.8890384615384616,-0.575092936802974,-0.8660714285714286,0.30937499999999973,0.8676470588235285,-0.8392857142857146,-0.18124999999999913,-0.6312499999999996,0.8749999999999998,-1.0,-0.84375,-0.365595212766624,-0.365595212766624,-0.36559521504335113,-0.3655952150433548,-0.3655952150433548,-0.36559521504335335,-0.384806813549868,-0.09999999999999998,4.440892098500626e-16,0.8127090301003337,1.0
123,-0.37068353449945135,-0.8115942028985508,-0.6952998379254457,-0.9261744966442953,0.008450704225352101,0.11224489795918391,-1.0,0.4999999999999978,-0.5071022727272727,-0.8844615384615384,-0.5449814126394052,-0.8214285714285715,0.3125,0.8235294117647054,-0.7857142857142859,-0.1749999999999995,-0.5749999999999993,0.8333333333333324,-1.0,-0.7916666666666667,-0.3706835344994518,-0.3706835344994518,-0.37068353449945124,-0.37068353449945113,-0.37068353449945113,-0.3706835344994506,-0.3902559371849055,0.0,4.440892098500626e-16,0.7525083612040127,1.0
124,-0.3808386583188107,-0.8079710144927537,-0.6920583468395463,-0.8903803131991052,-0.04225352112676062,0.03061224489795955,-1.0,0.4999999999999978,-0.5201231060606061,-0.8753076923076923,-0.4847583643122677,-0.7321428571428572,0.31874999999999964,0.7352941176470582,-0.6785714285714286,-0.1625000000000002,-0.46250000000000036,0.7499999999999996,-1.0,-0.6875,-0.38086017341164835,-0.38086017341164835,-0.38086017341164824,-0.3808601734116509,-0.3808601734116509,-0.3808601734116491,-0.40111127796966517,0.0,4.440892098500626e-16,0.6254180602006685,1.0
125,-0.38595925041416557,-0.8079710144927537,-0.6920583468395463,-0.8702460850111857,-0.06478873239436655,-0.010204081632653073,-1.0,0.4999999999999978,-0.5266335227272727,-0.8707307692307692,-0.45464684014869894,-0.6875,0.3218749999999999,0.6911764705882351,-0.6249999999999998,-0.15625000000000056,-0.40625,0.7083333333333321,-1.0,-0.6354166666666667,-0.3859484905910171,-0.3859484905910171,-0.38594849286774524,-0.38594849286774724,-0.38594849286774724,-0.38594849286774635,-0.4065604016047025,0.0,4.440892098500626e-16,0.5652173913043477,1.0
126,-0.39103681232384513,-0.8043478260869565,-0.6920583468395463,-0.8523489932885906,-0.08732394366197205,-0.05102040816326514,-1.0,0.4999999999999978,-0.5331439393939394,-0.8661538461538462,-0.42453531598513006,-0.642857142857143,0.32499999999999973,0.647058823529411,-0.5714285714285718,-0.14999999999999913,-0.34999999999999964,0.6666666666666665,-1.0,-0.5833333333333334,-0.3910368123238449,-0.3910368123238449,-0.39103681232384524,-0.3910368123238471,-0.3910368123238471,-0.3910368123238457,-0.41200952523974,0.0,4.440892098500626e-16,0.49832775919732386,1.0
